"Sample"	"Sample_type"	"Flask"	"Individual"	"DPE"	"Selection"	"Strain"	"Density_cell_uL"	"SampleType2"	"Group"	"dph"	"Sample_name"	"NTI"
"59"	"W7K-L8_S54"	"Gut"	"W7"	8	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W7_W"	7.43683907266463
"60"	"W7K-L9_S55"	"Gut"	"W7"	9	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W7_W"	10.9065044850414
"61"	"W9r-L10_S28"	"Gut"	"W9"	10	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W9_W"	6.19018628946914
"62"	"W9r-L7_S25"	"Gut"	"W9"	7	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W9_W"	6.73428276948355
"63"	"W9r-L8_S26"	"Gut"	"W9"	8	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W9_W"	1.32331847149563
"64"	"W9r-L9_S27"	"Gut"	"W9"	9	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W9_W"	4.75494729923198
"65"	"K4-aw_S83"	"Intake water"	NA	NA	14	"K"	NA	"410"	"AW"	"AW_Add-K"	"14"	NA	10.282454885014
"66"	"K5-aw_S85"	"Intake water"	NA	NA	16	"K"	NA	"980"	"AW"	"AW_Add-K"	"16"	NA	11.6792981777609
"67"	"K6-aw_S87"	"Intake water"	NA	NA	18	"K"	NA	"No data"	"AW"	"AW_Add-K"	"18"	NA	10.1189928622826
"68"	"K7b-aw_S81"	"Intake water"	NA	NA	21	"K"	NA	"380"	"AW"	"AW_Add-K"	"21"	NA	7.83396011706354
"69"	"r4-aw_S84"	"Intake water"	NA	NA	14	"r"	NA	"190"	"AW"	"AW_Add-r"	"14"	NA	10.1243954246924
"70"	"r5-aw_S86"	"Intake water"	NA	NA	16	"r"	NA	"1040"	"AW"	"AW_Add-r"	"16"	NA	15.79472875792
"71"	"r6-aw_S88"	"Intake water"	NA	NA	18	"r"	NA	"No data"	"AW"	"AW_Add-r"	"18"	NA	12.6515238054211
"72"	"r7b-aw_S82"	"Intake water"	NA	NA	21	"r"	NA	"530"	"AW"	"AW_Add-r"	"21"	NA	12.8415025810391
"73"	"A10r-rw_S75"	"Rearing water"	"A10"	NA	22	"r"	"A"	"12300"	"RW"	"RW_Add-r"	"22"	NA	18.9429261564075
"74"	"A11K-rw_S67"	"Rearing water"	"A11"	NA	22	"K"	"A"	"4000"	"RW"	"RW_Add-K"	"22"	NA	15.8987796084409
"75"	"A13r-rw_S76"	"Rearing water"	"A13"	NA	22	"r"	"A"	"1900"	"RW"	"RW_Add-r"	"22"	NA	16.1674808483213
"76"	"A14K-rw_S68"	"Rearing water"	"A14"	NA	22	"K"	"A"	"7400"	"RW"	"RW_Add-K"	"22"	NA	15.028076221716
"77"	"A2r-rw_S73"	"Rearing water"	"A2"	NA	22	"r"	"A"	"10500"	"RW"	"RW_Add-r"	"22"	NA	18.9099681772288
"78"	"A3K-rw_S65"	"Rearing water"	"A3"	NA	22	"K"	"A"	"9800"	"RW"	"RW_Add-K"	"22"	NA	15.9980079755444
"79"	"A5r-rw_S74"	"Rearing water"	"A5"	NA	22	"r"	"A"	"3600"	"RW"	"RW_Add-r"	"22"	NA	17.310050214159
"80"	"A6K-rw_S66"	"Rearing water"	"A6"	NA	22	"K"	"A"	"12200"	"RW"	"RW_Add-K"	"22"	NA	15.4922261595796
"81"	"W10K-rw_S71"	"Rearing water"	"W10"	NA	22	"K"	"W"	"7200"	"RW"	"RW_Add-K"	"22"	NA	15.0587239110739
"82"	"W13r-rw_S80"	"Rearing water"	"W13"	NA	22	"r"	"W"	"2200"	"RW"	"RW_Add-r"	"22"	NA	17.6789341916827
"83"	"W14K-rw_S72"	"Rearing water"	"W14"	NA	22	"K"	"W"	"10800"	"RW"	"RW_Add-K"	"22"	NA	14.3037869177887
"84"	"W1r-rw_S77"	"Rearing water"	"W1"	NA	22	"r"	"W"	"5100"	"RW"	"RW_Add-r"	"22"	NA	18.5428465962605
"85"	"W2K-rw_S69"	"Rearing water"	"W2"	NA	22	"K"	"W"	"10300"	"RW"	"RW_Add-K"	"22"	NA	15.3590105285374
"86"	"W5r-rw_S78"	"Rearing water"	"W5"	NA	22	"r"	"W"	"1900"	"RW"	"RW_Add-r"	"22"	NA	17.3735272378671
"87"	"W7K-rw_S70"	"Rearing water"	"W7"	NA	22	"K"	"W"	"16200"	"RW"	"RW_Add-K"	"22"	NA	15.1524393124335
"88"	"W9r-rw_S79"	"Rearing water"	"W9"	NA	22	"r"	"W"	"3400"	"RW"	"RW_Add-r"	"22"	NA	16.7080973161797
