"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1","group2"
"41","A11K-L10_S44","ASV1",7.89593792788681,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"42","A11K-L10_S44","ASV3",36.6773162939297,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-K: Aquaculture salmon strain"
"43","A11K-L10_S44","ASV4",0.803286170698311,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"44","A11K-L10_S44","ASV17",0,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-K: Aquaculture salmon strain"
"45","A11K-L10_S44","ASV23",0,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-K: Aquaculture salmon strain"
"46","A11K-L10_S44","ASV27",2.87539936102236,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-K: Aquaculture salmon strain"
"47","A11K-L10_S44","ASV15",0,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"48","A11K-L10_S44","ASV6",12.4783204016431,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-K: Aquaculture salmon strain"
"49","A11K-L10_S44","ASV71",0,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-K: Aquaculture salmon strain"
"50","A11K-L10_S44","ASV55",0,"A11K-L10_S44","Gut","A11",10,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-K: Aquaculture salmon strain"
