"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1"
"29","K5-aw_S85","ASV150",7.90680609062557,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","uncl_o_Pseudomonadales","uncl_o_Pseudomonadales","Unassigned","ASV150 (o:Pseudomonadales)"
"30","K5-aw_S85","ASV38",0,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","g_Acidovorax","Comamonadaceae","ASV38 (g:Acidovorax)"
"31","K5-aw_S85","ASV18",0.66042927903137,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV18 (p:Proteobacteria)"
"32","K5-aw_S85","ASV24",0.0733810310034856,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV24 (p:Proteobacteria)"
"33","K5-aw_S85","ASV19",0.0642084021280499,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV19 (p:Proteobacteria)"
"34","K5-aw_S85","ASV52",1.44927536231884,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","Unassigned","ASV52 (c:Alphaproteobacteria)"
"35","K5-aw_S85","ASV25",0.871399743166391,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV25 (g:Pseudomonas)"
"36","K5-aw_S85","ASV29",0.0275178866263071,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","Unassigned","ASV29 (c:Gammaproteobacteria)"
"37","K5-aw_S85","ASV26",0.0183452577508714,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV26 (p:Proteobacteria)"
"38","K5-aw_S85","ASV804",0.220143093010457,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV804 (g:Pseudomonas)"
"39","K5-aw_S85","ASV239",0.119244175380664,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","Unassigned","ASV239 (c:Betaproteobacteria)"
"40","K5-aw_S85","ASV605",0.0091726288754357,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV605 (f:Oxalobacteraceae)"
"41","K6-aw_S87","ASV1",3.3591967138293,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)"
"42","K6-aw_S87","ASV3",0.273847558192606,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)"
"43","K6-aw_S87","ASV4",1.87129164764948,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)"
"44","K6-aw_S87","ASV14",18.4390689183021,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Moraxellaceae","uncl_f_Moraxellaceae","Moraxellaceae","ASV14 (f:Moraxellaceae)"
"45","K6-aw_S87","ASV39",0,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","uncl_f_Comamonadaceae","Comamonadaceae","ASV39 (f:Comamonadaceae)"
"46","K6-aw_S87","ASV15",0.0273847558192606,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)"
"47","K6-aw_S87","ASV6",0.0821542674577818,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)"
"48","K6-aw_S87","ASV28",0.00912825193975354,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","o_Sphingomonadales","f_Sphingomonadaceae","g_Sphingomonas","Sphingomonadaceae","ASV28 (g:Sphingomonas)"
"49","K6-aw_S87","ASV150",2.82062984938384,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","uncl_o_Pseudomonadales","uncl_o_Pseudomonadales","Unassigned","ASV150 (o:Pseudomonadales)"
"50","K6-aw_S87","ASV38",0,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","g_Acidovorax","Comamonadaceae","ASV38 (g:Acidovorax)"
"51","K6-aw_S87","ASV18",0.237334550433592,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV18 (p:Proteobacteria)"
"52","K6-aw_S87","ASV24",0.0365130077590142,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV24 (p:Proteobacteria)"
"53","K6-aw_S87","ASV19",0.0182565038795071,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV19 (p:Proteobacteria)"
"54","K6-aw_S87","ASV52",5.23048836147878,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","Unassigned","ASV52 (c:Alphaproteobacteria)"
"55","K6-aw_S87","ASV25",0.328617069831127,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV25 (g:Pseudomonas)"
"56","K6-aw_S87","ASV29",0.0182565038795071,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","Unassigned","ASV29 (c:Gammaproteobacteria)"
"57","K6-aw_S87","ASV26",0.00912825193975354,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV26 (p:Proteobacteria)"
